Id,Console_Name,Type,Company,Released_Year,Discontinuation_Year,Units_Sold
1, PlayStation 2,Home,Sony,2000,2013,155.0
2, Nintendo DS,Handheld,Nintendo,2004,2013,154.02
3, Nintendo Switch,Hybrid,Nintendo,2017,0,122.55
4, Game Boy,Handheld,Nintendo,1989,2003,64.42
5, Game Boy Color,Handheld,Nintendo,1998,2003,44.06
6, PlayStation 4,Home,Sony,2013,0,117.2
7, PlayStation,Home,Sony,1994,2006,102.49
8, Wii,Home,Nintendo,2006,2013,101.63
9, PlayStation 3,Home,Sony,2006,2017,87.4
10, Xbox 360,Home,Microsoft,2005,2016,84.0
11, Game Boy Advance,Handheld,Nintendo,2001,2010,81.51
12, PlayStation Portable,Handheld,Sony,2004,2014,82.0
13, Nintendo 3DS,Handheld,Nintendo,2011,2020,75.94
14, NES/Famicom,Home,Nintendo,1983,2003,61.91
15, Xbox One,Home,Microsoft,2013,2020,58.5
16, SNES/Super Famicom,Home,Nintendo,1990,2003,49.1
17, Game & Watch,Handheld,Nintendo,1980,1991,43.4
18, Nintendo 64,Home,Nintendo,1996,2002,32.93
19, Sega Genesis/Mega Drive,Home,Sega,1988,1997,30.75
20, PlayStation 5,Home,Sony,2020,0,30.0
21, Atari 2600,Home,Atari,1977,1992,30.0
22, Xbox,Home,Microsoft,2001,2009,24.0
23, GameCube,Home,Nintendo,2001,2007,21.74
24, Xbox Series X/S,Home,Microsoft,2020,0,18.5
25, Wii U,Home,Nintendo,2012,2017,13.56
26, PlayStation Vita,Handheld,Sony,2011,2019,15.0
27, Sega Master System,Home,Sega,1986,1996,13.0
28, Sega Game Gear,Handheld,Sega,1990,1997,10.62
29, PC Engine/TurboGrafx-16,Home,NEC/Hudson Soft[note 6],1987,1994,10.0
30, Sega Saturn,Home,Sega,1994,2000,9.26
31, Dreamcast,Home,Sega,1998,2001,9.13
32, Master System(Brazilian variants),Home,Tectoy,1989,1996,8.0
33, Dendy(Famiclone),Home,Micro Genius,1992,1998,6.0
34, Super NES Classic Edition,Dedicated,Nintendo,2017,2018,5.28
35, Famicom Disk System,Home console add-on,Nintendo,1986,1992,4.5
36, NES Classic Edition,Dedicated,Nintendo,2016,2018,3.56
37, WonderSwan,Handheld,Bandai,1999,2018,3.5
38, Sega Pico,Home,Sega,1993,1998,3.4
39, Color TV-Game,Dedicated,Nintendo,1977,1980,3.0
40, Intellivision,Home,Mattel,1980,1990,3.0
41, Mega Drive(Brazilian variants),Home,Tectoy,1990,1996,3.0
42, N-Gage,Handheld,Nokia,2003,2005,3.0
43, Sega CD,Home console add-on,Sega,1991,1996,2.24
44, ColecoVision,Home,Coleco,1982,1985,2.0
45, Magnavox Odyssey,Home,Magnavox/Philips,1978,1975,2.0
46, PC Engine CD-ROM,Home console add-on,NEC,1988,1998,1.92
47, Atari 7800,Home,Atari,1986,1991,1.0
48, Atari Lynx,Handheld,Atari,1989,1995,1.0
49, Philips CD-i,Home,Philips,1990,1998,1.0
50, Telstar,Dedicated,Coleco,1976,1978,1.0
51, Atari 5200,Home,Atari,1982,1984,152.0
